,trip_id,uniqueid,qday,qday1typical,qborough_home,qsurveyzone_home,qtripdaytime,qborough_start,surveyzone_start,qday1tripend,qborough_end,surveyzone_end,qday1tripendcode,qday1triplength_cat,number_of_trips_taken,qgender,qincome,qdisability1,qdisability2,qdisability3,qdisability4,qdisability5,qdisability6,qdisability7,qdisability8,qdisability9,qagecode,qracecode,qeducation,qlicense,qcaraccess,qwelfare1,qwelfare2,qwelfare3,qwelfare4,qwelfare5,qsmartphone,qshare1,qshare2,qshare3,qshare4,qshare5,qshare6,qshare7,qshare8,qtemphigh,qtemplow,qprecipitation,qcitibike,qday1triptravelcode_sp,qmodegrouping,qsustainablemode,allwt,qpurposerecode,Cluster,PC1_2d,PC2_2d
1468,2105443,105443,Sunday,Very typical,Manhattan,Manhattan Core,NOON,Manhattan,Manhattan Core,Park/Recreational area/Gym,Manhattan,Manhattan Core,Park/Recreational area/Gym,0 to 5,3.0,Female,"$50,000 - $74,999",No,No,No,No,No,No,Yes,No,No,25-34,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,Yes,Walk,Walk,Yes,0.311089188,Social/recreation,1,5.114437850366704,0.04904691503932865
1469,2105444,105444,Sunday,Very typical,Queens,Outer Queens,AM,Queens,Outer Queens,Home,Queens,Outer Queens,Home,6 to 10,7.0,Female,"$100,000 - $149,999",No,No,No,No,No,No,Yes,No,No,45-54,"White, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Personal car,Car,No,0.313825636,Social/recreation,1,5.133285920094876,1.2614481455658786
1470,2105448,105448,Sunday,Very typical,Manhattan,Manhattan Core,NOON,Manhattan,Manhattan Core,Home,Manhattan,Manhattan Core,Home,56 to 60,2.0,Female,"$150,000-$199,999",No,No,No,No,No,No,Yes,No,No,35-44,"Asian, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,0.5819737979999999,Commute to/from work,1,5.088589396509609,-0.40593996617254535
1471,2105450,105450,Sunday,Very typical,Brooklyn,Outer Brooklyn,AM,Brooklyn,Outer Brooklyn,"Retail store (e.g. clothing, electronic, hardware, etc.)",Brooklyn,Outer Brooklyn,"Retail store (e.g. clothing, electronic, hardware, etc.)",46 to 50,4.0,Male,"$75,000 - $99,999",No,No,No,No,No,No,Yes,No,No,45-54,"White, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",Yes,I personally own or lease a car,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,0.752203845,Shopping,1,4.976415564385304,-0.19681094105001545
1472,2105457,105457,Sunday,Very typical,Queens,Outer Queens,AM,Queens,NOT CODED,"Grocery store or market (including deli, bodega, etc.)",Queens,Outer Queens,"Grocery store or market (including deli, bodega, etc.)",26 to 30,7.0,Male,"$75,000 - $99,999",No,No,No,No,No,No,Yes,No,No,25-34,"Asian, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,Yes,Personal car,Car,No,0.752925857,Personal errands,1,5.146302601201247,1.0874628877433568
1473,2105460,105460,Sunday,Very typical,Brooklyn,Inner Brooklyn,NOON,Brooklyn,Inner Brooklyn,Other,Brooklyn,Inner Brooklyn,Other,0 to 5,2.0,Male,"$35,000 - $49,999",No,No,No,No,No,Yes,No,No,No,25-34,Hispanic,"Bachelor's degree (i.e., BA, BS, AB)",Yes,I personally own or lease a car,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,1.259724648,Personal errands,1,4.998376183741108,-0.7029007680632484
1474,2105467,105467,Sunday,Very typical,Brooklyn,Outer Brooklyn,AM,Brooklyn,Outer Brooklyn,Home,Brooklyn,Outer Brooklyn,Home,61 to 180,2.0,Male,"$35,000 - $49,999",No,No,No,No,No,No,Yes,No,No,65 or older,"White, Non-Hispanic","High school graduate or equivalent (i.e., GED)",No,Other,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,5.822102068,Shopping,1,4.982303358004064,-0.9934182263274559
1475,2105472,105472,Sunday,Very typical,Brooklyn,Outer Brooklyn,PM,Manhattan,Manhattan Core,Friend or family member's home,Brooklyn,Outer Brooklyn,Friend or family member's home,26 to 30,2.0,Male,"$100,000 - $149,999",No,No,No,No,No,No,Yes,No,No,65 or older,"White, Non-Hispanic",Some college but degree not received or in progress,Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Subway,Subway,Yes,3.074476527,Social/recreation,1,5.014876041486888,-0.7137421072842131
1476,2105474,105474,Sunday,Very typical,Manhattan,Northern Manhattan,AM,Manhattan,Northern Manhattan,Work,Manhattan,Northern Manhattan,Work,0 to 5,5.0,Male,"$75,000 - $99,999",No,No,No,No,No,No,Yes,No,No,25-34,"Black, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,0.503692199,Shopping,1,5.114923678765319,0.34525108502664925
1477,2105484,105484,Sunday,Very typical,Manhattan,Northern Manhattan,NOON,Manhattan,Northern Manhattan,"Retail store (e.g. clothing, electronic, hardware, etc.)",Manhattan,Northern Manhattan,"Retail store (e.g. clothing, electronic, hardware, etc.)",16 to 20,3.0,Female,"$50,000 - $74,999",No,No,No,No,No,No,Yes,No,No,25-34,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,0.311089188,Personal errands,1,5.104462446470066,-0.1343888778465736
1478,2105495,105495,Sunday,Very typical,Brooklyn,Inner Brooklyn,NOON,Brooklyn,Inner Brooklyn,Restaurant or bar,Brooklyn,Inner Brooklyn,Restaurant or bar,11 to 15,3.0,Female,"$100,000 - $149,999",No,No,No,No,No,No,Yes,No,No,65 or older,"White, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",No,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,1.288485398,Dining,1,4.960893156827932,-0.4197638945464845
1479,2105501,105501,Sunday,Very typical,Brooklyn,Outer Brooklyn,NOON,Brooklyn,Outer Brooklyn,Home,Brooklyn,Outer Brooklyn,Home,11 to 15,2.0,Female,"$75,000 - $99,999",No,No,No,No,No,No,Yes,No,No,65 or older,"White, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,1.1061315,Shopping,1,4.994905286026619,-0.6438964158177617
1769,3103832,103832,Monday,Very typical,The Bronx,Southern Bronx,PM,The Bronx,Southern Bronx,"Grocery store or market (including deli, bodega, etc.)",The Bronx,Southern Bronx,"Grocery store or market (including deli, bodega, etc.)",0 to 5,3.0,Male,"$75,000 - $99,999",No,No,Yes,No,No,No,No,No,No,25-34,Hispanic,Some college but degree not received or in progress,No,I do not have access to a car,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,0.953918437,Personal errands,1,5.0329980849487646,-0.4556911104779749
1770,3103833,103833,Monday,Very typical,Queens,Middle Queens,NOON,Queens,Outer Queens,Home,Queens,Middle Queens,Home,11 to 15,3.0,Female,"$35,000 - $49,999",No,No,No,No,No,No,Yes,No,No,18-24,"Black, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",Yes,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,0.18520922,Personal errands,1,5.125941668358223,-0.25421077053523483
1771,3103840,103840,Monday,Very typical,The Bronx,Northern Bronx,PM,The Bronx,Northern Bronx,Park/Recreational area/Gym,The Bronx,Northern Bronx,Park/Recreational area/Gym,0 to 5,5.0,Female,"$35,000 - $49,999",No,No,No,No,No,No,Yes,No,No,18-24,"Black, Non-Hispanic",Some college but degree not received or in progress,No,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,0.243750363,Personal errands,1,5.0661364737235,0.4921178754188007
1772,3103846,103846,Monday,Very typical,Staten Island,Staten Island,AM,Staten Island,Staten Island,Home,Staten Island,Staten Island,Home,0 to 5,3.0,Female,"$50,000 - $74,999",No,No,No,No,No,No,Yes,No,No,25-34,"White, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Personal car,Car,No,0.118163418,Shopping,1,5.069667110727692,-0.4217788823179881
1773,3103848,103848,Monday,Very typical,The Bronx,Southern Bronx,PM,Manhattan,Manhattan Core,Home,The Bronx,Southern Bronx,Home,56 to 60,3.0,Female,"$35,000 - $49,999",No,No,No,No,No,No,Yes,No,No,18-24,Hispanic,"Associate degree (i.e., AA, AS)",No,Other,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,Yes,Subway,Subway,Yes,0.394453454,Commute to/from work,1,5.074822509017023,-0.2629125473131767
1774,3103864,103864,Monday,Very typical,Queens,Inner Queens,PM,Queens,Inner Queens,"Grocery store or market (including deli, bodega, etc.)",Queens,Inner Queens,"Grocery store or market (including deli, bodega, etc.)",26 to 30,4.0,Male,"$75,000 - $99,999",No,No,No,No,No,No,Yes,No,No,25-34,"Black, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Personal car,Car,No,0.4888058420000001,Personal errands,1,5.111700481351806,0.03344438677628726
1775,3103874,103874,Monday,Very typical,Queens,Middle Queens,NOON,Queens,Middle Queens,Home,Queens,Middle Queens,Home,16 to 20,4.0,Female,"$75,000 - $99,999",No,No,No,No,No,No,Yes,No,No,25-34,"Asian, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,2.0,2.0,2.0,No,Personal car,Car,No,0.613267501,Commute to/from work,1,5.121605092568343,0.10851730552538803
1776,3103879,103879,Monday,Very typical,Manhattan,Northern Manhattan,PM,Manhattan,Northern Manhattan,Restaurant or bar,Manhattan,Northern Manhattan,Restaurant or bar,0 to 5,4.0,Male,"$75,000 - $99,999",No,No,No,No,No,No,Yes,No,No,25-34,Hispanic,"Bachelor's degree (i.e., BA, BS, AB)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,0.8151090520000001,Dining,1,5.099230950140089,0.4549857349379178
1777,3103964,103964,Thursday,Very typical,The Bronx,Northern Bronx,NOON,The Bronx,Northern Bronx,Doctor's office or hospital,The Bronx,Northern Bronx,Doctor's office or hospital,61 to 180,4.0,Female,"$15,000 - $24,999",No,No,Yes,No,No,No,No,No,No,55-64,Hispanic,"Bachelor's degree (i.e., BA, BS, AB)",Yes,I do not have access to a car,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Other,Other,No,0.519678789,Accompanying other traveler,1,5.057855109114276,-0.02914575448227693
1778,3103983,103983,Thursday,Very typical,Staten Island,Staten Island,PM,Staten Island,Staten Island,"Grocery store or market (including deli, bodega, etc.)",Staten Island,Staten Island,"Grocery store or market (including deli, bodega, etc.)",6 to 10,4.0,Female,"$100,000 - $149,999",No,No,No,No,No,No,Yes,No,No,25-34,"White, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Personal car,Car,No,0.137643525,Personal errands,1,5.0726918037294455,0.10559660327705336
1779,3103989,103989,Thursday,Very typical,Queens,Middle Queens,NOON,Queens,Middle Queens,"Grocery store or market (including deli, bodega, etc.)",Queens,Middle Queens,"Grocery store or market (including deli, bodega, etc.)",6 to 10,4.0,Female,"$15,000 - $24,999",No,No,No,No,No,No,Yes,No,No,65 or older,"White, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",Yes,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Personal car,Car,No,0.474454779,Shopping,1,5.140516436225603,-0.06909031919217727
1780,3103992,103992,Thursday,Very typical,The Bronx,Southern Bronx,NOON,The Bronx,Southern Bronx,Home,The Bronx,Southern Bronx,Home,26 to 30,3.0,Female,"Less than $14,999",No,No,No,No,No,No,Yes,No,No,18-24,Hispanic,"High school graduate or equivalent (i.e., GED)",No,I do not have access to a car,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Select bus service,Bus,Yes,2.249652607,Shopping,1,5.053978705584024,-0.42985662732214935
1781,3103998,103998,Friday,Very typical,Manhattan,Northern Manhattan,PM,Manhattan,Northern Manhattan,Home,Manhattan,Northern Manhattan,Home,6 to 10,3.0,Male,"$25,000 - $34,999",No,No,No,No,No,No,Yes,No,No,25-34,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",No,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,Yes,Walk,Walk,Yes,0.224564811,Social/recreation,1,5.105511647298098,0.12919705032415466
1782,3104014,104014,Friday,Very typical,The Bronx,Northern Bronx,NOON,Manhattan,NOT CODED,Home,The Bronx,Northern Bronx,Home,61 to 180,3.0,Female,"$35,000 - $49,999",No,No,No,No,No,Yes,No,No,No,35-44,"Asian, Non-Hispanic",Some college but degree not received or in progress,No,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Express bus,Bus,Yes,0.4815817,Medical visit (doctor's office),1,5.055775405080851,-0.2510946070328423
1783,3104020,104020,Friday,Very typical,The Bronx,Northern Bronx,PM,Manhattan,Manhattan Core,Restaurant or bar,Manhattan,Manhattan Core,Restaurant or bar,6 to 10,3.0,Female,"$35,000 - $49,999",No,No,No,No,No,No,Yes,No,No,18-24,"Black, Non-Hispanic",Some college but degree not received or in progress,No,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,0.243750363,Social/recreation,1,5.103762992109063,-0.09976158665551056
1784,3104032,104032,Friday,Very typical,Manhattan,Northern Manhattan,NOON,Brooklyn,Inner Brooklyn,"Grocery store or market (including deli, bodega, etc.)",Manhattan,Northern Manhattan,"Grocery store or market (including deli, bodega, etc.)",61 to 180,4.0,Female,"$50,000 - $74,999",No,No,No,No,No,No,Yes,No,No,55-64,"White, Non-Hispanic","Associate degree (i.e., AA, AS)",No,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Subway,Subway,Yes,0.676499495,Personal errands,1,5.023906908409868,0.009382477127058898
1785,3104104,104104,Saturday,Very typical,Queens,Outer Queens,NOON,Queens,Outer Queens,"Retail store (e.g. clothing, electronic, hardware, etc.)",Queens,Middle Queens,"Retail store (e.g. clothing, electronic, hardware, etc.)",46 to 50,6.0,Female,"$25,000 - $34,999",No,No,No,No,No,No,Yes,No,No,18-24,"Other, Non-Hispanic",Some college but degree not received or in progress,No,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Local bus,Bus,Yes,0.194600243,Shopping,1,5.103205612090632,0.7197317471052838
1786,3104139,104139,Sunday,Very typical,Manhattan,Northern Manhattan,PM,Queens,Inner Queens,Home,Manhattan,Northern Manhattan,Home,61 to 180,3.0,Female,"$15,000 - $24,999",No,No,No,No,No,No,Yes,No,No,25-34,"White, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Express bus,Bus,Yes,0.303452412,Social/recreation,1,5.12791524778555,-0.02673766773637021
1787,3104215,104215,Monday,Very typical,Queens,Inner Queens,NOON,Manhattan,Manhattan Core,Restaurant or bar,Manhattan,Manhattan Core,Restaurant or bar,16 to 20,5.0,Female,"$15,000 - $24,999",No,No,No,No,No,No,Yes,No,No,18-24,"Other, Non-Hispanic","High school graduate or equivalent (i.e., GED)",No,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,1.109846903,Social/recreation,1,5.109893939137458,0.6790276944385135
1788,3104219,104219,Monday,Very typical,Manhattan,Northern Manhattan,PM,Manhattan,Northern Manhattan,Home,Manhattan,Northern Manhattan,Home,11 to 15,3.0,Male,"$50,000 - $74,999",No,No,No,No,No,No,Yes,No,No,35-44,Hispanic,Some college but degree not received or in progress,No,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,1.473091283,Personal errands,1,5.073558108078551,0.024501677270086075
1789,3104294,104294,Tuesday,Very typical,Queens,Middle Queens,PM,Queens,Middle Queens,"Grocery store or market (including deli, bodega, etc.)",Queens,Middle Queens,"Grocery store or market (including deli, bodega, etc.)",26 to 30,4.0,Female,"$50,000 - $74,999",No,No,No,No,No,No,No,Yes,No,35-44,"Asian, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,I personally own or lease a car,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Local bus,Bus,Yes,0.622347259,Shopping,1,5.130855886443751,-0.007531183767910171
1790,3104309,104309,Tuesday,Very typical,The Bronx,Southern Bronx,PM,The Bronx,Southern Bronx,Home,The Bronx,Southern Bronx,Home,6 to 10,5.0,Female,"$50,000 - $74,999",No,No,No,No,No,No,Yes,No,No,45-54,Hispanic,"Associate degree (i.e., AA, AS)",Yes,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,0.8258196059999999,Social/recreation,1,5.058330141881295,0.7156259302392579
1791,3104322,104322,Tuesday,Very typical,Queens,Middle Queens,NOON,Queens,Middle Queens,Home,Queens,Middle Queens,Home,0 to 5,3.0,Female,"$35,000 - $49,999",No,No,No,No,No,No,Yes,No,No,45-54,"Asian, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",No,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,0.418252928,Personal errands,1,5.099717158277675,-0.31402004922089616
1792,3104329,104329,Tuesday,Very typical,The Bronx,Northern Bronx,NOON,The Bronx,Northern Bronx,Home,The Bronx,Northern Bronx,Home,6 to 10,3.0,Female,"$25,000 - $34,999",No,No,No,No,No,No,Yes,No,No,45-54,Hispanic,Some college but degree not received or in progress,Yes,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,0.529905003,Commute to/from work,1,5.034627391896387,-0.2602977716341433
1793,3104351,104351,Tuesday,Very typical,Queens,Inner Queens,PM,Manhattan,Manhattan Core,Home,Queens,Inner Queens,Home,11 to 15,3.0,Female,"$35,000 - $49,999",No,No,No,No,No,No,Yes,No,No,35-44,"Asian, Non-Hispanic","Associate degree (i.e., AA, AS)",Yes,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,2.0,2.0,2.0,Yes,Personal car,Car,No,0.776131001,Social/recreation,1,5.142011039301472,0.033897941529765684
1794,3104365,104365,Tuesday,Very typical,Queens,Outer Queens,PM,Queens,Outer Queens,"Grocery store or market (including deli, bodega, etc.)",Queens,Outer Queens,"Grocery store or market (including deli, bodega, etc.)",21 to 25,4.0,Male,"Less than $14,999",No,No,No,No,No,No,Yes,No,No,25-34,Hispanic,"High school graduate or equivalent (i.e., GED)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Subway,Subway,Yes,5.797458671,Shopping,1,5.124028984236055,-0.02348856406499384
1795,3104375,104375,Tuesday,Very typical,Queens,Outer Queens,NOON,Queens,Outer Queens,Home,Queens,Outer Queens,Home,11 to 15,3.0,Female,"$35,000 - $49,999",No,No,No,No,No,No,Yes,No,No,25-34,"Asian, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,Yes,Personal car,Car,No,0.429458386,Commute to/from work,1,5.1034375926495965,-0.2949741704312698
1796,3104395,104395,Tuesday,Very typical,Manhattan,Northern Manhattan,NOON,Manhattan,Northern Manhattan,"Entertainment event (i.e. sporting event, play, etc.)",Brooklyn,Outer Brooklyn,"Entertainment event (i.e. sporting event, play, etc.)",61 to 180,4.0,Female,"$25,000 - $34,999",No,No,No,No,No,No,Yes,No,No,25-34,"White, Non-Hispanic",Some college but degree not received or in progress,Yes,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Other,Other,No,0.387960194,Social/recreation,1,5.052456606273392,0.1969155001152847
1797,3104398,104398,Tuesday,Very typical,Manhattan,Manhattan Core,NOON,Manhattan,Manhattan Core,Park/Recreational area/Gym,Manhattan,Manhattan Core,Park/Recreational area/Gym,21 to 25,4.0,Male,"$200,000 and above",No,No,No,No,No,No,Yes,No,No,65 or older,"Black, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",Yes,Other,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,0.6748104509999999,Social/recreation,1,5.102450819249649,0.4141923516392731
1798,3104431,104431,Tuesday,Very typical,Staten Island,Staten Island,NOON,Staten Island,Staten Island,Home,Staten Island,Staten Island,Home,16 to 20,3.0,Male,"$100,000 - $149,999",No,No,No,No,No,No,Yes,No,No,65 or older,"White, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Personal car,Car,No,0.249478319,Social/recreation,1,5.055177229345434,-0.20782573272345206
1799,3104442,104442,Tuesday,Very typical,Queens,Middle Queens,NOON,Queens,Outer Queens,Friend or family member's home,Queens,Outer Queens,Friend or family member's home,11 to 15,6.0,Male,"$75,000 - $99,999",No,No,No,No,No,No,Yes,No,No,45-54,"Asian, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Personal car,Car,No,0.671911088,Social/recreation,1,5.105129631260082,0.8762859032604953
1800,3104511,104511,Wednesday,Very typical,Manhattan,Northern Manhattan,PM,Manhattan,Manhattan Core,Home,Manhattan,Northern Manhattan,Home,51 to 55,3.0,Female,"$150,000-$199,999",No,No,No,No,No,No,Yes,No,No,65 or older,"White, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",Yes,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,2.0,2.0,2.0,No,Subway,Subway,Yes,0.41677484,Commute to/from work,1,5.088574034402137,-0.0395101412615411
1801,3104513,104513,Wednesday,Very typical,Staten Island,Staten Island,NOON,Staten Island,Staten Island,Home,Staten Island,Staten Island,Home,0 to 5,5.0,Female,"$200,000 and above",No,No,No,No,No,No,Yes,No,No,45-54,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Personal car,Car,No,0.11397276,Shopping,1,5.065998859482215,0.6755119189031522
1802,3104528,104528,Wednesday,Very typical,Queens,Middle Queens,PM,Queens,Middle Queens,Restaurant or bar,Queens,Middle Queens,Restaurant or bar,16 to 20,3.0,Male,"$100,000 - $149,999",No,No,No,No,No,No,Yes,No,No,35-44,Hispanic,"Graduate degree (i.e., Master's, Professional, Doctorate)",Yes,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,0.7851015570000001,Dining,1,5.0931829056347935,-0.3401777251977285
1803,3104532,104532,Wednesday,Very typical,Manhattan,Manhattan Core,NOON,Manhattan,Manhattan Core,"Grocery store or market (including deli, bodega, etc.)",Manhattan,Manhattan Core,"Grocery store or market (including deli, bodega, etc.)",21 to 25,7.0,Male,"$25,000 - $34,999",No,No,No,No,No,No,Yes,No,No,55-64,"White, Non-Hispanic",Some college but degree not received or in progress,No,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,0.488342209,Shopping,1,5.107313984053582,1.6072845726523806
1804,3104548,104548,Wednesday,Very typical,Staten Island,Staten Island,PM,Staten Island,Staten Island,Home,Staten Island,Staten Island,Home,6 to 10,3.0,Female,"$75,000 - $99,999",No,No,No,No,No,No,Yes,No,No,35-44,Hispanic,"Associate degree (i.e., AA, AS)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,2.0,2.0,2.0,Yes,Personal car,Car,No,0.542802872,Dining,1,5.061240688345031,-0.07834050740305766
1805,3104551,104551,Wednesday,Very typical,Manhattan,Northern Manhattan,NOON,Manhattan,Manhattan Core,"Retail store (e.g. clothing, electronic, hardware, etc.)",Manhattan,Manhattan Core,"Retail store (e.g. clothing, electronic, hardware, etc.)",21 to 25,6.0,Male,"$35,000 - $49,999",No,No,No,No,No,No,Yes,No,No,25-34,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",No,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Subway,Subway,Yes,0.224564811,Shopping,1,5.109179844545993,1.089732174116356
